Word,Freq_CSAT,LogE_Freq_CSAT,Log10_Freq_CSAT,Length,Freq_HAL,Log_Freq_HAL,SUBTLWF,LgSUBTLWF,Ortho_N,OLD,OLDF
the,3149,8.054840221101024,3.4983105537896004,3,23099033,16.955,29449.18,6.177,5,1.5,9.17
to,1880,7.539027055823995,3.274388795550379,2,12661276,16.354,22677.84,6.063,7,1.15,9.58
of,1561,7.353081920515432,3.1936810295412816,2,11003606,16.214,11577.24,5.771,8,1.45,9.704
and,1493,7.30854279753919,3.1743505974793798,3,10715411,16.187,13387.84,5.834,6,1.25,9.101
a,1272,7.148345743900068,3.1048284036536553,1,10610626,16.177,20415.27,6.018,1,1.45,9.831
in,1116,7.017506142941256,3.048053173115609,2,8015301,15.897,9773.41,5.698,7,1.0,10.693
is,882,6.782192056006791,2.9459607035775686,2,6474135,15.683,9013.0,5.662,7,1.45,9.477
you,817,6.705639094860003,2.912753303671323,3,5030485,15.431,41857.12,6.329,2,1.85,9.092
that,785,6.665683717782408,2.895422546039408,4,5262331,15.476,14111.31,5.857,6,1.65,8.605
it,746,6.61472560020376,2.873320601815399,2,4709218,15.365,18896.31,5.984,6,1.15,9.417
for,594,6.386879319362645,2.7745169657285498,3,4958036,15.417,6895.1,5.546,7,1.3,8.943
will,588,6.376726947898627,2.7701152947871015,4,1706009,14.35,2123.65,5.035,16,1.0,8.416
be,512,6.238324625039508,2.7101173651118162,2,3095437,14.945,5746.76,5.467,5,1.4,9.46
not,461,6.133398042996649,2.6646419755561257,3,2605564,14.773,5424.96,5.442,15,1.05,9.026
are,450,6.1092475827643655,2.6541765418779604,3,2984459,14.909,5209.25,5.424,16,1.0,8.299
we,410,6.016157159698354,2.6138418218760693,2,1245247,14.035,9011.9,5.662,4,1.4,9.754
as,405,6.003887067106539,2.6085260335771943,2,2642511,14.787,2217.02,5.053,9,1.1,9.172
this,385,5.953243334287785,2.586587304671755,4,3251989,14.995,7978.73,5.609,2,1.85,8.585
can,374,5.924255797414532,2.574031267727719,3,1625073,14.301,5247.45,5.428,15,1.0,9.817
with,357,5.877735781779639,2.5538830266438746,4,3184846,14.974,5048.33,5.411,3,1.7,8.533
your,344,5.840641657373398,2.537819095073274,4,1711893,14.353,6445.39,5.517,6,1.55,8.332
they,329,5.796057750765372,2.5185139398778875,4,1617818,14.297,4102.94,5.321,4,1.65,9.412
on,311,5.739792912179234,2.494154594018443,2,3536061,15.079,6955.73,5.55,9,1.05,9.579
have,306,5.723585101952381,2.4871383754771865,4,3003873,14.915,6161.41,5.497,12,1.2,8.345
more,302,5.71042701737487,2.481442628502305,4,1076711,13.889,1298.59,4.821,18,1.0,7.598
but,266,5.583496308781699,2.4265112613645754,3,2128964,14.571,4417.47,5.353,16,1.0,9.024
by,256,5.545177444479562,2.4099331233312946,2,1790440,14.398,1340.47,4.835,2,1.7,10.096
at,255,5.541263545158426,2.4082399653118496,2,1977887,14.498,3217.1,5.215,8,1.0,10.301
or,239,5.476463551931511,2.380211241711606,2,2616965,14.778,1705.29,4.939,7,1.35,9.549
from,234,5.455321115357702,2.3710678622717363,4,1894943,14.455,2039.06,5.017,2,1.9,8.335
their,230,5.438079308923196,2.3636119798921444,5,844722,13.647,655.16,4.524,0,1.9,9.659
what,229,5.43372200355424,2.361727836017593,4,1325779,14.098,9842.45,5.701,4,1.7,8.697
do,229,5.43372200355424,2.361727836017593,2,1360645,14.123,6135.59,5.495,7,1.25,9.691
was,227,5.424950017481403,2.357934847000454,3,2096827,14.556,5654.73,5.46,7,1.35,8.688
our,216,5.375278407684165,2.3364597338485296,3,524609,13.17,1400.49,4.854,3,1.4,8.641
us,214,5.365976015021851,2.3324384599156054,2,481870,13.085,1695.65,4.937,3,1.6,9.349
an,211,5.351858133476067,2.326335860928751,2,1578013,14.272,1864.14,4.978,9,1.0,11.903
one,210,5.3471075307174685,2.3242824552976926,3,1428618,14.172,3072.24,5.195,3,1.25,8.907
people,202,5.308267697401205,2.307496037913213,6,768168,13.552,1102.98,4.75,0,2.3,7.02
so,195,5.272999558563747,2.292256071356476,2,1261201,14.048,4244.16,5.335,7,1.35,9.607
he,186,5.225746673713202,2.271841606536499,2,1178718,13.98,7637.2,5.59,5,1.25,9.78
my,186,5.225746673713202,2.271841606536499,2,1768938,14.386,6762.73,5.538,4,1.7,10.402
would,185,5.220355825078324,2.2695129442179165,5,1278502,14.061,1767.88,4.955,4,1.8,9.175
if,185,5.220355825078324,2.2695129442179165,2,2311232,14.653,3541.37,5.257,6,1.65,9.756
all,180,5.19295685089021,2.2576785748691846,3,1699638,14.346,5161.86,5.42,5,1.2,8.693
time,175,5.1647859739235145,2.24551266781415,4,788823,13.578,1958.63,5.0,9,1.25,8.485
when,169,5.1298987149230735,2.230448921378274,4,944467,13.758,2034.1,5.016,4,1.75,8.882
about,164,5.099866427824199,2.2174839442139063,5,1307019,14.083,3631.49,5.268,1,1.85,7.669
than,149,5.003946305945459,2.1760912590556813,4,702491,13.462,738.8,4.576,6,1.6,9.224
let,141,4.948759890378168,2.1522883443830563,3,206685,12.239,2419.24,5.091,16,1.0,10.099
these,140,4.941642422609304,2.1492191126553797,5,591805,13.291,904.0,4.664,3,1.75,9.229
other,138,4.927253685157205,2.143014800254095,5,897942,13.708,735.39,4.574,3,1.7,9.147
then,137,4.919980925828125,2.1398790864012365,4,705900,13.467,1489.53,4.881,7,1.5,9.224
now,134,4.897839799950911,2.130333768495006,3,599476,13.304,3202.61,5.213,15,1.05,8.721
them,131,4.875197323201151,2.12057393120585,4,801560,13.594,1778.82,4.958,5,1.6,9.015
there,127,4.844187086458591,2.1072099696478683,5,1313357,14.088,4348.12,5.346,3,1.75,8.864
his,127,4.844187086458591,2.1072099696478683,3,842727,13.644,2124.78,5.035,6,1.4,8.693
see,124,4.820281565605037,2.0969100130080562,3,580882,13.272,2556.73,5.115,14,1.0,9.281
only,123,4.812184355372417,2.093421685162235,4,828014,13.627,1083.71,4.742,1,1.95,7.999
