Task,TrialType,Stimuli,CorrectResponse,StimulusType,thisN,thisTrialN,thisRepN,Trialnumb,LDT_key_resp.keys,LDT_key_resp.corr,LDT_key_resp.rt,LDT_key_resp.duration,LDT_prac_trials.thisRepN,LDT_prac_trials.thisTrialN,LDT_prac_trials.thisN,LDT_prac_trials.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,thisRow.t,notes,Intro.started,Intro.stopped,LDT_intro.started,keyboard_LDT.started,LDT_intro.stopped,LDT_prac.started,LDT_prac.stopped,LDT_feedback.started,LDT_feedback.stopped,LDT_instr.started,LDT_instr_key_resp.started,LDT_instr.stopped,LDT_trial.started,LDT_stim_text.started,LDT_key_resp.started,LDT_trial.stopped,LDT_trials.LDT_key_resp.keys,LDT_trials.LDT_key_resp.corr,LDT_trials.LDT_key_resp.rt,LDT_trials.LDT_key_resp.duration,LDT_break.started,LDT_break.stopped,end.started,end.stopped,Participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.0077557999993587146,1.5802182999996148,,,,,,,,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,1.5802412999992157,1.592575399999987,18.30101029999969,,,,,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,concept,l,word,0,0,0,,,,,,0,0,0,0,,,,,18.31719459999931,,,,,,,18.309188499999436,19.735775599999215,19.73964429999978,20.72818129999996,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,lankua,a,nonword,1,1,0,,,,,,0,1,1,9,,,,,20.736280199999783,,,,,,,20.731907099999262,22.104891599999974,22.104916599999342,23.097200499999417,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,format,l,word,2,2,0,,,,,,0,2,2,3,,,,,23.105291799999577,,,,,,,23.100169999999707,24.406972699999642,24.406998499999645,25.399491499999385,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,huftuk,a,nonword,3,3,0,,,,,,0,3,3,8,,,,,25.40768659999958,,,,,,,25.401533899999777,26.56757589999961,26.56760099999974,27.56006239999988,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,yami,a,nonword,4,4,0,,,,,,0,4,4,6,,,,,27.568135799999254,,,,,,,27.562351799999306,28.836505399999623,28.83653030000005,29.8289479999994,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,baseball,l,word,5,5,0,,,,,,0,5,5,4,,,,,29.83710389999942,,,,,,,29.831658699999934,31.063768699999855,31.06379349999952,32.05608979999943,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,truck,l,word,6,6,0,,,,,,0,6,6,2,,,,,32.06424259999949,,,,,,,32.05774299999939,33.107391099999404,33.10741749999943,34.09988439999961,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,cluerk,a,nonword,7,7,0,,,,,,0,7,7,5,,,,,34.10792599999968,,,,,,,34.10095789999923,35.351341099999445,35.35136609999972,36.34377099999983,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,cucumber,l,word,8,8,0,,,,,,0,8,8,1,,,,,36.35192289999941,,,,,,,36.345472199999676,37.68691989999934,37.686944799999765,38.679466599999614,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Practice,jeong,a,nonword,9,9,0,,,,,,0,9,9,7,,,,,38.687517299999854,,,,,,,38.68171389999952,39.814044799999465,39.81406969999989,40.80647809999937,,,,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.80652379999992,40.81462459999966,43.551134499999534,,,,,,,,,,,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Target,vink,a,nonword,0,0,0,212,a,1,1.10762909999994,None,,,,,0,0,0,211,43.58406620000005,,,,,,,,,,,,,,43.57296299999962,44.04286339999999,44.04286339999999,45.152714699999706,a,1,1.10762909999994,None,45.15274849999969,45.15276039999935,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
LDT,Target,cona,a,nonword,1,1,0,132,l,0,0.7143099999993865,None,,,,,0,1,1,131,45.16080259999944,,,,,,,,,,,,,,45.15366139999969,45.6444920999993,45.6444920999993,46.36227869999948,l,0,0.7143099999993865,None,46.362313699999504,46.36232459999974,,,06,2025-10-14_10h19.18.141,online_LDT&KRT,,2025.1.1,121.05878009016998,2025-10-14 10h19.24.437770 +0900,
