Task,TrialType,Stimuli,CorrectResponse,StimulusType,thisN,thisTrialN,thisRepN,Trialnumb,LDT_key_resp.keys,LDT_key_resp.corr,LDT_key_resp.rt,LDT_key_resp.duration,LDT_prac_trials.thisRepN,LDT_prac_trials.thisTrialN,LDT_prac_trials.thisN,LDT_prac_trials.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,thisRow.t,notes,Intro.started,Intro.stopped,LDT_intro.started,keyboard_LDT.started,LDT_intro.stopped,LDT_prac.started,LDT_prac.stopped,LDT_feedback.started,LDT_feedback.stopped,LDT_instr.started,LDT_instr_key_resp.started,LDT_instr.stopped,LDT_trial.started,LDT_stim_text.started,LDT_key_resp.started,LDT_trial.stopped,LDT_trials.LDT_key_resp.keys,LDT_trials.LDT_key_resp.corr,LDT_trials.LDT_key_resp.rt,LDT_trials.LDT_key_resp.duration,LDT_break.started,LDT_break.stopped,end.started,end.stopped,Participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.005535300000701682,8.248209299999871,,,,,,,,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,8.248239200000171,8.263378399999965,10.524410699999862,,,,,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,baseball,l,word,0,0,0,,,,,,0,0,0,4,,,,,10.540514400000575,,,,,,,10.532567799999924,11.75056720000066,11.75470580000001,12.742930000000342,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,concept,l,word,1,1,0,,,,,,0,1,1,0,,,,,12.751119100000324,,,,,,,12.747116399999868,13.986050700000305,13.986075400000118,14.978475700000672,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,jeong,a,nonword,2,2,0,,,,,,0,2,2,7,,,,,14.986691099999916,,,,,,,14.980917100000624,16.09666500000003,16.09669060000033,17.089011500000197,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,yami,a,nonword,3,3,0,,,,,,0,3,3,6,,,,,17.0971468000007,,,,,,,17.091996799999833,18.874252700000397,18.874277100000654,19.86665020000055,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,format,l,word,4,4,0,,,,,,0,4,4,3,,,,,19.874899200000073,,,,,,,19.868942699999934,21.10146309999982,21.101487100000668,22.093894000000546,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,huftuk,a,nonword,5,5,0,,,,,,0,5,5,8,,,,,22.102125299999898,,,,,,,22.096969000000172,23.245313100000203,23.245337600000312,24.23768999999993,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,cucumber,l,word,6,6,0,,,,,,0,6,6,1,,,,,24.245845700000245,,,,,,,24.239271200000076,25.53096590000041,25.53099050000037,26.523288800000046,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,lankua,a,nonword,7,7,0,,,,,,0,7,7,9,,,,,26.53150050000022,,,,,,,26.52475030000005,27.749867399999857,27.749891400000706,28.74226760000056,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,cluerk,a,nonword,8,8,0,,,,,,0,8,8,5,,,,,28.750340100000358,,,,,,,28.743325299999924,29.977154500000324,29.977179500000602,30.969427500000165,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Practice,truck,l,word,9,9,0,,,,,,0,9,9,2,,,,,30.977531200000158,,,,,,,30.970988099999886,32.13751440000033,32.137537700000394,33.12989860000016,,,,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.12994330000038,33.13811020000048,47.17747810000037,,,,,,,,,,,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
LDT,Target,buy,l,word,0,0,0,25,l,1,0.7056141000002754,None,,,,,0,0,0,24,47.20138490000045,,,,,,,,,,,,,,47.19846400000006,47.669162099999994,47.669162099999994,48.378723400000126,l,1,0.7056141000002754,None,48.378759100000025,48.37877209999988,,,MA33,2025-10-16_17h39.13.452,online_LDT&KRT,,2025.1.1,121.10760168116555,2025-10-16 17h39.27.734355 +0900,
