Task,TrialType,Stimuli,CorrectResponse,StimulusType,thisN,thisTrialN,thisRepN,Trialnumb,LDT_key_resp.keys,LDT_key_resp.corr,LDT_key_resp.rt,LDT_key_resp.duration,LDT_prac_trials.thisRepN,LDT_prac_trials.thisTrialN,LDT_prac_trials.thisN,LDT_prac_trials.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,thisRow.t,notes,Intro.started,Intro.stopped,LDT_intro.started,keyboard_LDT.started,LDT_intro.stopped,LDT_prac.started,LDT_prac.stopped,LDT_feedback.started,LDT_feedback.stopped,LDT_instr.started,LDT_instr_key_resp.started,LDT_instr.stopped,LDT_trial.started,LDT_stim_text.started,LDT_key_resp.started,LDT_trial.stopped,LDT_trials.LDT_key_resp.keys,LDT_trials.LDT_key_resp.corr,LDT_trials.LDT_key_resp.rt,LDT_trials.LDT_key_resp.duration,LDT_break.started,LDT_break.stopped,end.started,end.stopped,Participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.010042500000054133,9.478127700000186,,,,,,,,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,9.478151499999512,9.485083300000042,26.428009100000054,,,,,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,concept,l,word,0,0,0,,,,,,0,0,0,0,,,,,26.444230600000083,,,,,,,26.436496700000134,28.13825689999976,28.142546500000208,29.130447200000162,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,lankua,a,nonword,1,1,0,,,,,,0,1,1,9,,,,,29.138700599999538,,,,,,,29.13434270000016,30.432057600000007,30.432082599999376,31.4244534999998,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,truck,l,word,2,2,0,,,,,,0,2,2,2,,,,,31.43256839999958,,,,,,,31.426693200000045,32.484065499999815,32.48408819999986,33.476474600000074,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,cucumber,l,word,3,3,0,,,,,,0,3,3,1,,,,,33.48454760000004,,,,,,,33.47921029999998,34.586084599999595,34.58610880000015,35.57858329999999,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,yami,a,nonword,4,4,0,,,,,,0,4,4,6,,,,,35.58663609999985,,,,,,,35.58120999999937,37.12199109999983,37.12201559999994,38.11438799999996,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,format,l,word,5,5,0,,,,,,0,5,5,3,,,,,38.12249989999964,,,,,,,38.11659309999959,39.24905699999999,39.2490815000001,40.24149320000015,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,jeong,a,nonword,6,6,0,,,,,,0,6,6,7,,,,,40.24961829999938,,,,,,,40.24419069999931,41.4929089999996,41.49298689999978,42.485375000000204,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
LDT,Practice,huftuk,a,nonword,7,7,0,,,,,,0,7,7,8,,,,,42.49365189999935,,,,,,,42.48800849999952,44.2373835999997,44.239226300000155,45.229771499999515,,,,,,,,,,,,,,,,MB45,2025-11-12_16h14.19.928,online_LDT&KRT,,2025.1.1,121.25386193455479,2025-11-12 16h14.27.211436 +0900,
