Task,TrialType,Stimuli,CorrectResponse,StimulusType,thisN,thisTrialN,thisRepN,Trialnumb,LDT_key_resp.keys,LDT_key_resp.corr,LDT_key_resp.rt,LDT_key_resp.duration,LDT_prac_trials.thisRepN,LDT_prac_trials.thisTrialN,LDT_prac_trials.thisN,LDT_prac_trials.thisIndex,LDT_trials.thisRepN,LDT_trials.thisTrialN,LDT_trials.thisN,LDT_trials.thisIndex,thisRow.t,notes,Intro.started,Intro.stopped,LDT_intro.started,keyboard_LDT.started,LDT_intro.stopped,LDT_prac.started,LDT_prac.stopped,LDT_feedback.started,LDT_feedback.stopped,LDT_instr.started,LDT_instr_key_resp.started,LDT_instr.stopped,LDT_trial.started,LDT_stim_text.started,LDT_key_resp.started,LDT_trial.stopped,LDT_trials.LDT_key_resp.keys,LDT_trials.LDT_key_resp.corr,LDT_trials.LDT_key_resp.rt,LDT_trials.LDT_key_resp.duration,LDT_break.started,LDT_break.stopped,end.started,end.stopped,Participant,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,0.00895440000022063,1.5057598000021244,,,,,,,,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,1.5057816000007733,1.518339600002946,13.914506000000983,,,,,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,baseball,l,word,0,0,0,,,,,,0,0,0,4,,,,,13.930751700001565,,,,,,,13.922570300001098,14.89885570000115,14.902584499999648,15.891341300000931,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,truck,l,word,1,1,0,,,,,,0,1,1,2,,,,,15.89897159999964,,,,,,,15.895363999999972,16.892481599999883,16.892506899999717,17.884876400003122,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,lankua,a,nonword,2,2,0,,,,,,0,2,2,9,,,,,17.892936100000952,,,,,,,17.88693410000269,19.044612000001507,19.04463620000024,20.03701980000187,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,concept,l,word,3,3,0,,,,,,0,3,3,0,,,,,20.045060500000545,,,,,,,20.03965700000117,21.055016600003,21.05504149999979,22.04731620000166,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,cluerk,a,nonword,4,4,0,,,,,,0,4,4,5,,,,,22.05540170000313,,,,,,,22.048341300000175,23.090228600001865,23.090252199999668,24.082700599999953,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,format,l,word,5,5,0,,,,,,0,5,5,3,,,,,24.090887100002874,,,,,,,24.085438500002056,25.242331400000694,25.24235419999968,26.234788800000388,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,cucumber,l,word,6,6,0,,,,,,0,6,6,1,,,,,26.2431456000013,,,,,,,26.236383400002524,27.453069200000755,27.45309840000118,28.445326600001863,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,yami,a,nonword,7,7,0,,,,,,0,7,7,6,,,,,28.453601700002764,,,,,,,28.447531900001195,29.446550700002263,29.446575000001758,30.438976700002968,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,jeong,a,nonword,8,8,0,,,,,,0,8,8,7,,,,,30.447260500000993,,,,,,,30.44159220000074,31.48200580000048,31.482030200000736,32.47435140000016,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Practice,huftuk,a,nonword,9,9,0,,,,,,0,9,9,8,,,,,32.48247730000003,,,,,,,32.47665810000035,33.59234330000254,33.5941868000009,34.58473150000282,,,,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.58477740000308,34.59287700000277,37.94667910000135,,,,,,,,,,,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,grew,l,word,0,0,0,89,l,1,0.48321410000062315,None,,,,,0,0,0,88,37.97961230000146,,,,,,,,,,,,,,37.96875089999958,38.43839099999968,38.43839099999968,38.92273340000247,l,1,0.48321410000062315,None,38.92276740000307,38.92278440000155,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,ran,l,word,1,1,0,66,l,1,0.5067741999991995,None,,,,,0,1,1,65,38.93053470000086,,,,,,,,,,,,,,38.92362590000266,39.41435510000156,39.41435510000156,39.92366790000233,l,1,0.5067741999991995,None,39.92370310000115,39.923714600001404,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,sere,a,nonword,2,2,0,190,a,1,0.6578754000001936,None,,,,,0,2,2,189,39.93154760000107,,,,,,,,,,,,,,39.9250933000003,40.41535890000159,40.41535890000159,41.074944300002244,a,1,0.6578754000001936,None,41.074982699999964,41.07499490000191,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,news,l,word,3,3,0,45,l,1,0.610234900002979,None,,,,,0,3,3,44,41.08273680000275,,,,,,,,,,,,,,41.0758808999999,41.56648889999997,41.56648889999997,42.18422009999995,l,1,0.610234900002979,None,42.18425500000012,42.18426620000173,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,hass,a,nonword,4,4,0,151,a,1,0.8445088000007672,None,,,,,0,4,4,150,42.19210659999953,,,,,,,,,,,,,,42.18531840000287,42.675921600002766,42.675921600002766,43.52722680000079,a,1,0.8445088000007672,None,43.52726110000003,43.527272499999526,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,beon,a,nonword,5,5,0,120,a,1,0.5736609000014141,None,,,,,0,5,5,119,43.5352120000025,,,,,,,,,,,,,,43.528185800001665,44.018912600000476,44.018912600000476,44.59497060000285,a,1,0.5736609000014141,None,44.59500450000269,44.59501699999964,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,slim,l,word,6,6,0,111,l,1,0.5058485000008659,None,,,,,0,6,6,110,44.602850500003115,,,,,,,,,,,,,,44.59590880000178,45.08666230000017,45.08666230000017,45.59594020000077,l,1,0.5058485000008659,None,45.59597390000272,45.595985400002974,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,sife,a,nonword,7,7,0,192,a,1,0.7770244000021194,None,,,,,0,7,7,191,45.60391230000096,,,,,,,,,,,,,,45.596873100002995,46.087715800000296,46.087715800000296,46.87220640000305,a,1,0.7770244000021194,None,46.87224200000128,46.87225450000187,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,tran,a,nonword,8,8,0,206,a,1,0.6531304999989516,None,,,,,0,8,8,205,46.88028940000004,,,,,,,,,,,,,,46.8730925000018,47.363947500001814,47.363947500001814,48.02338040000177,a,1,0.6531304999989516,None,48.023414400002366,48.023425499999576,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,read,l,word,9,9,0,31,l,1,0.45328020000306424,None,,,,,0,9,9,30,48.03126980000161,,,,,,,,,,,,,,48.02557119999983,48.51507770000171,48.51507770000171,48.974323900001764,l,1,0.45328020000306424,None,48.97435899999982,48.97437020000143,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,trick,l,word,10,10,0,75,l,1,0.43899790000068606,None,,,,,0,10,10,74,48.98219910000262,,,,,,,,,,,,,,48.97534260000248,49.4660208000023,49.4660208000023,49.90858819999994,l,1,0.43899790000068606,None,49.90862250000282,49.90863470000113,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,plue,a,nonword,11,11,0,181,l,0,0.41740139999819803,None,,,,,0,11,11,180,49.91646110000147,,,,,,,,,,,,,,49.90953310000259,50.40028080000047,50.40028080000047,50.82621560000189,l,0,0.41740139999819803,None,50.82625159999952,50.82626259999961,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,gead,a,nonword,12,12,0,145,a,1,1.3716012000004412,None,,,,,0,12,12,144,50.8341118999997,,,,,,,,,,,,,,50.827241400002094,51.31788460000098,51.31788460000098,52.69463870000254,a,1,1.3716012000004412,None,52.69467450000229,52.69468620000043,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,chase,l,word,13,13,0,86,l,1,0.5902670000032231,None,,,,,0,13,13,85,52.70259200000146,,,,,,,,,,,,,,52.695924400002696,53.18640150000283,53.18640150000283,53.77914040000178,l,1,0.5902670000032231,None,53.77917570000136,53.779187700001785,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,darb,a,nonword,14,14,0,134,a,1,0.5937941000011051,None,,,,,0,14,14,133,53.7869978000017,,,,,,,,,,,,,,53.780166700002155,54.27080090000163,54.27080090000163,54.871936300001835,a,1,0.5937941000011051,None,54.871970500000316,54.87198250000074,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,hear,l,word,15,15,0,37,l,1,0.5170999000001757,None,,,,,0,15,15,36,54.87974790000226,,,,,,,,,,,,,,54.872944099999586,55.36354790000041,55.36354790000041,55.88136020000093,l,1,0.5170999000001757,None,55.881394400003046,55.881406100001186,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,sad,l,word,16,16,0,69,l,1,0.49203279999710503,None,,,,,0,16,16,68,55.889095200000156,,,,,,,,,,,,,,55.882257799999934,56.37290900000153,56.37290900000153,56.86557590000302,l,1,0.49203279999710503,None,56.865613300000405,56.865625800001,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,full,l,word,17,17,0,43,l,1,0.46789949999947567,None,,,,,0,17,17,42,56.87344850000227,,,,,,,,,,,,,,56.86673210000299,57.35722069999974,57.35722069999974,57.833123200001864,l,1,0.46789949999947567,None,57.833179799999925,57.833194200000435,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,smat,a,nonword,18,18,0,195,a,1,0.6044613999983994,None,,,,,0,18,18,194,57.8410122000023,,,,,,,,,,,,,,57.83418130000064,58.324825200001214,58.324825200001214,58.93421370000215,a,1,0.6044613999983994,None,58.93424900000173,58.93426069999987,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,rorn,a,nonword,19,19,0,185,a,1,0.5350792999997793,None,,,,,0,19,19,184,58.942274900000484,,,,,,,,,,,,,,58.935187200000655,59.42595490000167,59.42595490000167,59.968672300001344,a,1,0.5350792999997793,None,59.96871060000194,59.96872240000084,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,wake,l,word,20,20,0,63,l,1,0.6206677999980457,None,,,,,0,20,20,62,59.976566000001185,,,,,,,,,,,,,,59.969619800001965,60.46029770000314,60.46029770000314,61.086457500001416,l,1,0.6206677999980457,None,61.08649760000117,61.08650950000083,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
LDT,Target,trip,l,word,21,21,0,35,l,1,0.4389870000013616,None,,,,,0,21,21,34,61.09434959999999,,,,,,,,,,,,,,61.08759110000028,61.57807230000253,61.57807230000253,62.020700200002466,l,1,0.4389870000013616,None,62.02073690000179,62.020749800001795,,,mb03,2025-10-13_14h01.49.069,online_LDT&KRT,,2025.1.1,121.06112497529998,2025-10-13 14h01.57.925835 +0900,
